Inspection Stage Description,School Code,Borough Name,TCO Obtained Date,Inspection Category,Observation Description,Inspection Date
24 Hour Compliance,HS460R,STATEN ISLAND,,SAFETY,Deficiency,08/02/2019 11:00:00 AM
24 Hour Compliance,HS460R,STATEN ISLAND,,SAFETY,Deficiency,08/03/2019 09:40:00 AM
24 Hour Compliance,HS480Q,QUEENS,,SAFETY,Deficiency,08/28/2019 10:30:00 AM
24 Hour Compliance,HS490K,BROOKLYN,,SAFETY,Comment,08/07/2019 04:35:00 PM
24 Hour Compliance,HS490K,BROOKLYN,,SAFETY,Deficiency,08/23/2019 02:35:00 PM
24 Hour Compliance,PS001R,STATEN ISLAND,,SAFETY,Deficiency,08/07/2019 12:40:00 PM
24 Hour Compliance,PS030R,STATEN ISLAND,,SAFETY,Deficiency,08/12/2019 11:00:00 AM
24 Hour Compliance,PS107K,BROOKLYN,,SAFETY,Deficiency,08/08/2019 10:50:00 AM
24 Hour Compliance,PS164K,BROOKLYN,,SAFETY,Deficiency,08/20/2019 07:30:00 PM
24 Hour Compliance,PS198M,MANHATTAN,,SAFETY,Deficiency,08/21/2019 11:45:00 AM
24 Hour Compliance,PS369K,BROOKLYN,,SAFETY,Deficiency,08/06/2019 08:50:00 PM
24 Hour Compliance,PS369K,BROOKLYN,,SAFETY,Deficiency,08/07/2019 03:25:00 PM
24 Hour Compliance,PS721X,BRONX,,SAFETY,Deficiency,08/05/2019 06:53:00 PM
48 Hour Compliance,HS460R,STATEN ISLAND,,SAFETY,Deficiency,08/16/2019 03:05:00 PM
48 Hour Compliance,IS286M,MANHATTAN,,SAFETY,Comment,08/13/2019 02:50:00 PM
48 Hour Compliance,IS409K,BROOKLYN,,SAFETY,Deficiency,08/07/2019 12:45:00 PM
48 Hour Compliance,OS000M,MANHATTAN,,SAFETY,Comment,08/06/2019 06:00:00 PM
48 Hour Compliance,OS000M,MANHATTAN,,SAFETY,Deficiency,08/06/2019 06:00:00 PM
48 Hour Compliance,OS600R,STATEN ISLAND,,SAFETY,Deficiency,08/16/2019 11:35:00 AM
48 Hour Compliance,PS000R,STATEN ISLAND,,SAFETY,Comment,08/27/2019 11:35:00 AM
48 Hour Compliance,PS000R,STATEN ISLAND,,SAFETY,Deficiency,08/20/2019 10:00:00 AM
48 Hour Compliance,PS000R,STATEN ISLAND,,SAFETY,Deficiency,08/27/2019 11:35:00 AM
48 Hour Compliance,PS002Q,QUEENS,,SAFETY,Deficiency,08/19/2019 11:15:00 AM
48 Hour Compliance,PS002Q,QUEENS,,SAFETY,Deficiency,08/22/2019 10:30:00 AM
48 Hour Compliance,PS009Q,QUEENS,,SAFETY,Deficiency,08/01/2019 07:30:00 PM
48 Hour Compliance,PS012X,BRONX,,SAFETY,Deficiency,08/09/2019 04:05:00 PM
48 Hour Compliance,PS029X,BRONX,,SAFETY,Deficiency,08/12/2019 07:00:00 AM
48 Hour Compliance,PS043X,BRONX,,SAFETY,Deficiency,08/14/2019 03:35:00 PM
48 Hour Compliance,PS046X,BRONX,,SAFETY,Deficiency,08/01/2019 10:00:00 AM
48 Hour Compliance,PS046X,BRONX,,SAFETY,Deficiency,08/03/2019 08:00:00 AM
48 Hour Compliance,PS046X,BRONX,,SAFETY,Deficiency,08/07/2019 12:00:00 PM
48 Hour Compliance,PS048K,BROOKLYN,,SAFETY,Deficiency,08/06/2019 07:30:00 PM
48 Hour Compliance,PS050M,MANHATTAN,,SAFETY,Comment,08/19/2019 11:30:00 AM
48 Hour Compliance,PS050M,MANHATTAN,,SAFETY,Deficiency,08/16/2019 12:25:00 PM
48 Hour Compliance,PS050M,MANHATTAN,,SAFETY,Deficiency,08/19/2019 11:30:00 AM
48 Hour Compliance,PS165M,MANHATTAN,,SAFETY,Deficiency,08/05/2019 04:55:00 PM
48 Hour Compliance,PS169Q,QUEENS,,SAFETY,Deficiency,08/21/2019 02:20:00 PM
48 Hour Compliance,PS169Q,QUEENS,,SAFETY,Deficiency,08/23/2019 07:00:00 AM
48 Hour Compliance,PS173M,MANHATTAN,,SAFETY,Deficiency,08/13/2019 09:50:00 AM
48 Hour Compliance,PS189M,MANHATTAN,,SAFETY,Deficiency,08/21/2019 01:15:00 PM
48 Hour Compliance,PS197K,BROOKLYN,,SAFETY,Deficiency,08/10/2019 11:50:00 AM
48 Hour Compliance,PS236K,BROOKLYN,,SAFETY,Comment,08/06/2019 12:00:00 PM
48 Hour Compliance,PS236K,BROOKLYN,,SAFETY,Deficiency,08/06/2019 12:00:00 PM
48 Hour Compliance,PS246X,BRONX,,SAFETY,Deficiency,08/05/2019 05:50:00 PM
48 Hour Compliance,PS333M,MANHATTAN,,SAFETY,Comment,08/12/2019 12:05:00 PM
48 Hour Compliance,PS333M,MANHATTAN,,SAFETY,Deficiency,08/07/2019 11:00:00 AM
48 Hour Compliance,PS333M,MANHATTAN,,SAFETY,Deficiency,08/09/2019 01:00:00 PM
48 Hour Compliance,PS333M,MANHATTAN,,SAFETY,Deficiency,08/15/2019 02:45:00 PM
48 Hour Compliance,PS333M,MANHATTAN,,SAFETY,Deficiency,08/19/2019 01:20:00 PM
48 Hour Compliance,PS333M,MANHATTAN,,SAFETY,Deficiency,08/27/2019 01:00:00 PM
48 Hour Compliance,PS369K,BROOKLYN,,SAFETY,Deficiency,08/21/2019 03:55:00 PM
48 Hour Compliance,PS369K,BROOKLYN,,SAFETY,Deficiency,08/22/2019 01:35:00 PM
48 Hour Compliance,PS811M,MANHATTAN,,SAFETY,Deficiency,08/30/2019 10:15:00 AM
Crane Operation,HS445R,STATEN ISLAND,,SAFETY,Comment,08/23/2019 08:25:00 AM
Crane Operation,HSTELK,BROOKLYN,,SAFETY,Comment,08/17/2019 08:00:00 AM
Crane Operation,OS000K,BROOKLYN,,SAFETY,Comment,08/12/2019 07:40:00 AM
Crane Operation,OS000K,BROOKLYN,,SAFETY,Comment,08/13/2019 11:00:00 AM
Crane Operation,OS000K,BROOKLYN,,SAFETY,Comment,08/14/2019 07:40:00 AM
Crane Operation,OS000K,BROOKLYN,,SAFETY,Deficiency,08/15/2019 12:30:00 PM
Crane Operation,PS017K,BROOKLYN,,SAFETY,Comment,08/02/2019 07:00:00 AM
Crane Operation,PS030M,MANHATTAN,,SAFETY,Comment,08/29/2019 03:00:00 PM
Crane Operation,PS052R,STATEN ISLAND,,SAFETY,Comment,08/16/2019 07:45:00 AM
Crane Operation,PS058K,BROOKLYN,,SAFETY,Comment,08/24/2019 07:00:00 AM
Crane Operation,PS064Q,QUEENS,,SAFETY,Comment,08/01/2019 07:00:00 AM
Crane Operation,PS097K,BROOKLYN,,SAFETY,Comment,08/08/2019 08:55:00 AM
Crane Operation,PS097K,BROOKLYN,,SAFETY,Deficiency,08/08/2019 08:55:00 AM
Crane Operation,PS143Q,QUEENS,,SAFETY,Comment,08/07/2019 09:50:00 AM
Emergency Boiler,PS132M,MANHATTAN,,SAFETY,Deficiency,08/09/2019 04:00:00 PM
Emergency Boiler,PS721R,STATEN ISLAND,,SAFETY,Deficiency,08/02/2019 02:15:00 PM
Emergency Sidewalk Bridge,HS313M,MANHATTAN,,SAFETY,Comment,08/06/2019 01:00:00 PM
Emergency Sidewalk Bridge,HS313M,MANHATTAN,,SAFETY,Comment,08/14/2019 02:30:00 PM
Emergency Sidewalk Bridge,HS313M,MANHATTAN,,SAFETY,Comment,08/23/2019 10:15:00 AM
Emergency Sidewalk Bridge,HS381X,BRONX,,SAFETY,Comment,08/16/2019 05:25:00 PM
Emergency Sidewalk Bridge,HS381X,BRONX,,SAFETY,Comment,08/21/2019 01:15:00 PM
Emergency Sidewalk Bridge,HS455Q,QUEENS,,SAFETY,Comment,08/14/2019 07:00:00 AM
Emergency Sidewalk Bridge,HS455Q,QUEENS,,SAFETY,Comment,08/16/2019 08:20:00 PM
Emergency Sidewalk Bridge,HS455Q,QUEENS,,SAFETY,Comment,08/26/2019 12:20:00 PM
Emergency Sidewalk Bridge,HS462K,BROOKLYN,,SAFETY,Comment,08/08/2019 12:05:00 PM
Emergency Sidewalk Bridge,HS462K,BROOKLYN,,SAFETY,Comment,08/14/2019 03:05:00 PM
Emergency Sidewalk Bridge,HS462K,BROOKLYN,,SAFETY,Comment,08/21/2019 09:45:00 AM
Emergency Sidewalk Bridge,HS462K,BROOKLYN,,SAFETY,Deficiency,08/29/2019 10:00:00 AM
Emergency Sidewalk Bridge,HS468M,MANHATTAN,,SAFETY,Comment,08/05/2019 04:05:00 PM
Emergency Sidewalk Bridge,HS480Q,QUEENS,,SAFETY,Deficiency,08/08/2019 07:30:00 PM
Emergency Sidewalk Bridge,HS480Q,QUEENS,,SAFETY,Deficiency,08/16/2019 10:45:00 AM
Emergency Sidewalk Bridge,HS480Q,QUEENS,,SAFETY,Deficiency,08/21/2019 03:29:00 PM
Emergency Sidewalk Bridge,HSWASM,MANHATTAN,,SAFETY,Comment,08/20/2019 04:20:00 PM
Emergency Sidewalk Bridge,IS034R,STATEN ISLAND,,SAFETY,Comment,08/07/2019 12:25:00 PM
Emergency Sidewalk Bridge,IS034R,STATEN ISLAND,,SAFETY,Comment,08/14/2019 01:20:00 PM
Emergency Sidewalk Bridge,IS034R,STATEN ISLAND,,SAFETY,Deficiency,08/21/2019 04:30:00 PM
Emergency Sidewalk Bridge,IS098X,BRONX,,SAFETY,Comment,08/06/2019 08:10:00 AM
Emergency Sidewalk Bridge,IS098X,BRONX,,SAFETY,Comment,08/15/2019 01:05:00 PM
Emergency Sidewalk Bridge,IS098X,BRONX,,SAFETY,Comment,08/28/2019 12:00:00 PM
Emergency Sidewalk Bridge,IS193X,BRONX,,SAFETY,Comment,08/01/2019 07:00:00 AM
Emergency Sidewalk Bridge,IS193X,BRONX,,SAFETY,Deficiency,08/28/2019 12:00:00 PM
Emergency Sidewalk Bridge,IS223M,MANHATTAN,,SAFETY,Comment,08/05/2019 01:10:00 PM
Emergency Sidewalk Bridge,IS223M,MANHATTAN,,SAFETY,Comment,08/13/2019 03:55:00 PM
Emergency Sidewalk Bridge,IS223M,MANHATTAN,,SAFETY,Comment,08/20/2019 02:35:00 PM
Emergency Sidewalk Bridge,IS232X,BRONX,,SAFETY,Comment,08/05/2019 11:25:00 AM
Emergency Sidewalk Bridge,IS232X,BRONX,,SAFETY,Comment,08/19/2019 04:00:00 PM
Emergency Sidewalk Bridge,IS232X,BRONX,,SAFETY,Comment,08/23/2019 07:00:00 AM
Emergency Sidewalk Bridge,IS232X,BRONX,,SAFETY,Deficiency,08/14/2019 01:20:00 PM
Emergency Sidewalk Bridge,IS232X,BRONX,,SAFETY,Deficiency,08/29/2019 10:05:00 AM
Emergency Sidewalk Bridge,IS301X,BRONX,,SAFETY,Deficiency,08/08/2019 07:56:00 PM
Emergency Sidewalk Bridge,IS301X,BRONX,,SAFETY,Deficiency,08/16/2019 06:27:00 PM
Emergency Sidewalk Bridge,IS301X,BRONX,,SAFETY,Deficiency,08/21/2019 02:22:00 PM
Emergency Sidewalk Bridge,IS301X,BRONX,,SAFETY,Deficiency,08/26/2019 07:56:00 PM
Emergency Sidewalk Bridge,IS363X,BRONX,,SAFETY,Comment,08/12/2019 08:00:00 AM
Emergency Sidewalk Bridge,IS378M,MANHATTAN,,SAFETY,Comment,08/12/2019 01:10:00 PM
Emergency Sidewalk Bridge,IS378M,MANHATTAN,,SAFETY,Comment,08/16/2019 04:30:00 PM
Emergency Sidewalk Bridge,IS378M,MANHATTAN,,SAFETY,Comment,08/23/2019 01:45:00 PM
Emergency Sidewalk Bridge,IS378M,MANHATTAN,,SAFETY,Comment,08/26/2019 03:20:00 PM
Emergency Sidewalk Bridge,IS378M,MANHATTAN,,SAFETY,Deficiency,08/23/2019 01:45:00 PM
Emergency Sidewalk Bridge,JS051K,BROOKLYN,,SAFETY,Comment,08/08/2019 12:20:00 PM
Emergency Sidewalk Bridge,JS051K,BROOKLYN,,SAFETY,Comment,08/14/2019 03:20:00 PM
Emergency Sidewalk Bridge,JS051K,BROOKLYN,,SAFETY,Comment,08/21/2019 10:00:00 AM
Emergency Sidewalk Bridge,JS051K,BROOKLYN,,SAFETY,Comment,08/29/2019 10:15:00 AM
Emergency Sidewalk Bridge,JS101X,BRONX,,SAFETY,Comment,08/21/2019 07:00:00 AM
Emergency Sidewalk Bridge,JS101X,BRONX,,SAFETY,Deficiency,08/01/2019 03:30:00 PM
Emergency Sidewalk Bridge,JS101X,BRONX,,SAFETY,Deficiency,08/20/2019 04:02:00 PM
Emergency Sidewalk Bridge,JS101X,BRONX,,SAFETY,Deficiency,08/27/2019 03:14:00 PM
Emergency Sidewalk Bridge,JS118X,BRONX,,SAFETY,Deficiency,08/05/2019 07:00:00 AM
Emergency Sidewalk Bridge,JS118X,BRONX,,SAFETY,Deficiency,08/16/2019 07:00:00 AM
Emergency Sidewalk Bridge,JS118X,BRONX,,SAFETY,Deficiency,08/26/2019 07:00:00 AM
Emergency Sidewalk Bridge,JS136K,BROOKLYN,,SAFETY,Comment,08/07/2019 04:15:00 PM
Emergency Sidewalk Bridge,JS136K,BROOKLYN,,SAFETY,Comment,08/16/2019 06:30:00 PM
Emergency Sidewalk Bridge,JS136K,BROOKLYN,,SAFETY,Comment,08/22/2019 03:25:00 PM
Emergency Sidewalk Bridge,OS457M,MANHATTAN,,SAFETY,Comment,08/01/2019 02:15:00 PM
Emergency Sidewalk Bridge,OS457M,MANHATTAN,,SAFETY,Comment,08/08/2019 09:50:00 AM
Emergency Sidewalk Bridge,OS457M,MANHATTAN,,SAFETY,Comment,08/15/2019 08:00:00 PM
Emergency Sidewalk Bridge,OS457M,MANHATTAN,,SAFETY,Comment,08/20/2019 08:40:00 AM
Emergency Sidewalk Bridge,OS457M,MANHATTAN,,SAFETY,Comment,08/27/2019 04:30:00 PM
Emergency Sidewalk Bridge,OS457M,MANHATTAN,,SAFETY,Comment,08/28/2019 04:00:00 PM
Emergency Sidewalk Bridge,OS457M,MANHATTAN,,SAFETY,Deficiency,08/28/2019 04:00:00 PM
Emergency Sidewalk Bridge,OSDSBQ,QUEENS,,SAFETY,Comment,08/23/2019 12:45:00 PM
Emergency Sidewalk Bridge,OSDSBQ,QUEENS,,SAFETY,Deficiency,08/23/2019 12:45:00 PM
Emergency Sidewalk Bridge,PS001K,BROOKLYN,,SAFETY,Comment,08/06/2019 07:00:00 PM
Emergency Sidewalk Bridge,PS001K,BROOKLYN,,SAFETY,Comment,08/16/2019 06:50:00 PM
Emergency Sidewalk Bridge,PS009R,STATEN ISLAND,,SAFETY,Comment,08/14/2019 11:50:00 AM
Emergency Sidewalk Bridge,PS009R,STATEN ISLAND,,SAFETY,Comment,08/23/2019 10:25:00 AM
Emergency Sidewalk Bridge,PS009X,BRONX,,SAFETY,Deficiency,08/06/2019 05:23:00 PM
Emergency Sidewalk Bridge,PS009X,BRONX,,SAFETY,Deficiency,08/19/2019 05:19:00 PM
Emergency Sidewalk Bridge,PS009X,BRONX,,SAFETY,Deficiency,08/29/2019 04:22:00 PM
Emergency Sidewalk Bridge,PS034Q,QUEENS,,SAFETY,Comment,08/02/2019 08:20:00 PM
Emergency Sidewalk Bridge,PS034Q,QUEENS,,SAFETY,Comment,08/20/2019 01:31:00 PM
Emergency Sidewalk Bridge,PS034Q,QUEENS,,SAFETY,Deficiency,08/09/2019 01:40:00 PM
Emergency Sidewalk Bridge,PS038M,MANHATTAN,,SAFETY,Comment,08/02/2019 07:05:00 AM
Emergency Sidewalk Bridge,PS038M,MANHATTAN,,SAFETY,Comment,08/12/2019 10:25:00 AM
Emergency Sidewalk Bridge,PS038M,MANHATTAN,,SAFETY,Comment,08/19/2019 02:15:00 PM
Emergency Sidewalk Bridge,PS038M,MANHATTAN,,SAFETY,Comment,08/23/2019 09:10:00 AM
Emergency Sidewalk Bridge,PS038M,MANHATTAN,,SAFETY,Comment,08/26/2019 02:40:00 PM
Emergency Sidewalk Bridge,PS041X,BRONX,,SAFETY,Deficiency,08/02/2019 03:52:00 PM
Emergency Sidewalk Bridge,PS041X,BRONX,,SAFETY,Deficiency,08/07/2019 02:30:00 PM
Emergency Sidewalk Bridge,PS041X,BRONX,,SAFETY,Deficiency,08/14/2019 03:10:00 PM
Emergency Sidewalk Bridge,PS041X,BRONX,,SAFETY,Deficiency,08/22/2019 02:44:00 PM
Emergency Sidewalk Bridge,PS041X,BRONX,,SAFETY,Deficiency,08/28/2019 02:00:00 PM
Emergency Sidewalk Bridge,PS048R,STATEN ISLAND,,SAFETY,Comment,08/13/2019 04:35:00 PM
Emergency Sidewalk Bridge,PS053X,BRONX,,SAFETY,Comment,08/02/2019 07:00:00 AM
Emergency Sidewalk Bridge,PS053X,BRONX,,SAFETY,Comment,08/06/2019 07:00:00 AM
Emergency Sidewalk Bridge,PS053X,BRONX,,SAFETY,Comment,08/22/2019 07:00:00 AM
Emergency Sidewalk Bridge,PS053X,BRONX,,SAFETY,Deficiency,08/15/2019 07:00:00 AM
Emergency Sidewalk Bridge,PS056K,BROOKLYN,,SAFETY,Comment,08/06/2019 07:40:00 PM
Emergency Sidewalk Bridge,PS056K,BROOKLYN,,SAFETY,Comment,08/13/2019 02:35:00 PM
Emergency Sidewalk Bridge,PS056K,BROOKLYN,,SAFETY,Deficiency,08/22/2019 08:15:00 PM
Emergency Sidewalk Bridge,PS067X,BRONX,,SAFETY,Comment,08/06/2019 08:30:00 AM
Emergency Sidewalk Bridge,PS067X,BRONX,,SAFETY,Comment,08/15/2019 12:45:00 PM
Emergency Sidewalk Bridge,PS067X,BRONX,,SAFETY,Deficiency,08/06/2019 08:30:00 AM
Emergency Sidewalk Bridge,PS067X,BRONX,,SAFETY,Deficiency,08/28/2019 11:40:00 AM
Emergency Sidewalk Bridge,PS092K,BROOKLYN,,SAFETY,Comment,08/09/2019 11:00:00 AM
Emergency Sidewalk Bridge,PS092K,BROOKLYN,,SAFETY,Comment,08/13/2019 09:25:00 AM
Emergency Sidewalk Bridge,PS092K,BROOKLYN,,SAFETY,Comment,08/20/2019 01:05:00 PM
Emergency Sidewalk Bridge,PS092K,BROOKLYN,,SAFETY,Comment,08/28/2019 07:25:00 PM
Emergency Sidewalk Bridge,PS092K,BROOKLYN,,SAFETY,Deficiency,08/13/2019 09:25:00 AM
Emergency Sidewalk Bridge,PS092K,BROOKLYN,,SAFETY,Deficiency,08/28/2019 07:25:00 PM
Emergency Sidewalk Bridge,PS098Q,QUEENS,,SAFETY,Comment,08/01/2019 08:45:00 AM
Emergency Sidewalk Bridge,PS098Q,QUEENS,,SAFETY,Comment,08/09/2019 07:00:00 AM
Emergency Sidewalk Bridge,PS098Q,QUEENS,,SAFETY,Comment,08/23/2019 02:25:00 PM
Emergency Sidewalk Bridge,PS098Q,QUEENS,,SAFETY,Comment,08/27/2019 02:30:00 PM
Emergency Sidewalk Bridge,PS102M,MANHATTAN,,SAFETY,Comment,08/09/2019 12:20:00 PM
Emergency Sidewalk Bridge,PS102M,MANHATTAN,,SAFETY,Deficiency,08/09/2019 12:20:00 PM
Emergency Sidewalk Bridge,PS102M,MANHATTAN,,SAFETY,Deficiency,08/19/2019 02:30:00 PM
Emergency Sidewalk Bridge,PS102Q,QUEENS,,SAFETY,Comment,08/01/2019 10:30:00 AM
Emergency Sidewalk Bridge,PS102Q,QUEENS,,SAFETY,Comment,08/19/2019 01:13:00 PM
Emergency Sidewalk Bridge,PS102Q,QUEENS,,SAFETY,Deficiency,08/19/2019 01:13:00 PM
Emergency Sidewalk Bridge,PS102Q,QUEENS,,SAFETY,Deficiency,08/27/2019 01:07:00 PM
Emergency Sidewalk Bridge,PS108M,MANHATTAN,,SAFETY,Comment,08/02/2019 07:25:00 PM
Emergency Sidewalk Bridge,PS108M,MANHATTAN,,SAFETY,Comment,08/23/2019 06:30:00 PM
Emergency Sidewalk Bridge,PS108M,MANHATTAN,,SAFETY,Deficiency,08/02/2019 07:25:00 PM
Emergency Sidewalk Bridge,PS108M,MANHATTAN,,SAFETY,Deficiency,08/22/2019 01:20:00 PM
Emergency Sidewalk Bridge,PS108Q,QUEENS,,SAFETY,Comment,08/06/2019 11:10:00 AM
Emergency Sidewalk Bridge,PS108Q,QUEENS,,SAFETY,Comment,08/09/2019 04:30:00 PM
Emergency Sidewalk Bridge,PS108Q,QUEENS,,SAFETY,Comment,08/16/2019 09:00:00 AM
Emergency Sidewalk Bridge,PS108Q,QUEENS,,SAFETY,Deficiency,08/09/2019 04:30:00 PM
Emergency Sidewalk Bridge,PS111M,MANHATTAN,,SAFETY,Comment,08/08/2019 09:20:00 PM
Emergency Sidewalk Bridge,PS111M,MANHATTAN,,SAFETY,Comment,08/16/2019 02:25:00 PM
Emergency Sidewalk Bridge,PS111M,MANHATTAN,,SAFETY,Comment,08/21/2019 02:40:00 PM
Emergency Sidewalk Bridge,PS111M,MANHATTAN,,SAFETY,Comment,08/28/2019 12:25:00 PM
Emergency Sidewalk Bridge,PS121Q,QUEENS,,SAFETY,Comment,08/16/2019 09:35:00 AM
Emergency Sidewalk Bridge,PS121Q,QUEENS,,SAFETY,Comment,08/27/2019 10:00:00 AM
Emergency Sidewalk Bridge,PS121Q,QUEENS,,SAFETY,Deficiency,08/06/2019 10:20:00 AM
Emergency Sidewalk Bridge,PS135K,BROOKLYN,,SAFETY,Comment,08/05/2019 02:30:00 PM
Emergency Sidewalk Bridge,PS135K,BROOKLYN,,SAFETY,Comment,08/15/2019 08:35:00 PM
Emergency Sidewalk Bridge,PS135K,BROOKLYN,,SAFETY,Comment,08/23/2019 04:00:00 PM
Emergency Sidewalk Bridge,PS135K,BROOKLYN,,SAFETY,Comment,08/28/2019 02:00:00 PM
Emergency Sidewalk Bridge,PS155K,BROOKLYN,,SAFETY,Comment,08/08/2019 10:00:00 AM
Emergency Sidewalk Bridge,PS155K,BROOKLYN,,SAFETY,Comment,08/16/2019 03:45:00 PM
Emergency Sidewalk Bridge,PS155K,BROOKLYN,,SAFETY,Comment,08/19/2019 10:00:00 AM
Emergency Sidewalk Bridge,PS155K,BROOKLYN,,SAFETY,Comment,08/27/2019 09:00:00 AM
Emergency Sidewalk Bridge,PS172K,BROOKLYN,,SAFETY,Comment,08/05/2019 12:05:00 PM
Emergency Sidewalk Bridge,PS172K,BROOKLYN,,SAFETY,Comment,08/12/2019 06:40:00 PM
Emergency Sidewalk Bridge,PS172K,BROOKLYN,,SAFETY,Comment,08/20/2019 08:35:00 PM
Emergency Sidewalk Bridge,PS213K,BROOKLYN,,SAFETY,Deficiency,08/07/2019 02:30:00 PM
Emergency Sidewalk Bridge,PS234M,MANHATTAN,,SAFETY,Comment,08/06/2019 01:25:00 PM
Emergency Sidewalk Bridge,PS234M,MANHATTAN,,SAFETY,Comment,08/14/2019 03:05:00 PM
Emergency Sidewalk Bridge,PS234M,MANHATTAN,,SAFETY,Comment,08/23/2019 10:50:00 AM
Emergency Sidewalk Bridge,PS234M,MANHATTAN,,SAFETY,Deficiency,08/23/2019 10:50:00 AM
Emergency Sidewalk Bridge,PS267M,MANHATTAN,,SAFETY,Comment,08/07/2019 10:35:00 AM
Emergency Sidewalk Bridge,PS267M,MANHATTAN,,SAFETY,Comment,08/15/2019 11:45:00 AM
Emergency Sidewalk Bridge,PS267M,MANHATTAN,,SAFETY,Comment,08/29/2019 05:50:00 PM
Emergency Sidewalk Bridge,PS307K,BROOKLYN,,SAFETY,Comment,08/03/2019 07:00:00 AM
Emergency Sidewalk Bridge,PS307K,BROOKLYN,,SAFETY,Deficiency,08/17/2019 09:00:00 AM
Emergency Sidewalk Bridge,PS401K,BROOKLYN,,SAFETY,Comment,08/02/2019 03:10:00 PM
Final,HS139M,MANHATTAN,,LOWVOLTAGE,Final,08/21/2019 11:00:00 AM
Final,HS307M,MANHATTAN,,LOWVOLTAGE,Final,08/06/2019 03:29:02 PM
Final,HS400Q,QUEENS,,ROOFING,Final,08/06/2019 12:30:00 PM
Final,HS403K,BROOKLYN,,ROOFING,Final,08/20/2019 11:30:00 AM
Final,HS410K,BROOKLYN,,ARCHITECTURAL,Final,08/06/2019 07:00:00 AM
Final,HS410K,BROOKLYN,,ARCHITECTURAL,Final,08/06/2019 01:00:00 PM
Final,HS410K,BROOKLYN,,FINALCONSTRUCTION,Final,08/21/2019 11:00:00 AM
Final,HS415Q,QUEENS,,LOWVOLTAGE,Final,08/27/2019 01:00:00 PM
Final,HS430Q,QUEENS,,SAFETY,Final,08/09/2019 11:15:00 AM
Final,HS435Q,QUEENS,,ARCHITECTURAL,Final,08/08/2019 07:00:00 AM
Final,HS435X,BRONX,,FINALCONSTRUCTION,Final,08/16/2019 03:00:00 PM
Final,HS435X,BRONX,,LOWVOLTAGE,Final,08/16/2019 09:45:00 PM
Final,HS440X,BRONX,,FINALCONSTRUCTION,Final,08/08/2019 10:00:00 AM
Final,HS440X,BRONX,,FINALCONSTRUCTION,Final,08/09/2019 01:05:00 PM
Final,HS440X,BRONX,,FINALCONSTRUCTION,Out of Scope CP,08/08/2019 10:00:00 AM
Final,HS440X,BRONX,,FINALCONSTRUCTION,Out of Scope DSF,08/09/2019 01:05:00 PM
Final,HS455K,BROOKLYN,,ARCHITECTURAL,Final,08/20/2019 07:00:00 AM
Final,HS455K,BROOKLYN,,HVACSYSTEMSTESTING,Final,08/07/2019 09:00:00 AM
Final,HS455K,BROOKLYN,,HVACSYSTEMSTESTING,Required Test,08/07/2019 09:00:00 AM
Final,HS455K,BROOKLYN,,LOWVOLTAGE,Final,08/27/2019 04:38:00 PM
Final,HS468M,MANHATTAN,,POWERANDLIGHTING,Final,08/15/2019 11:30:00 AM
Final,HS468M,MANHATTAN,,POWERANDLIGHTING,Required Test,08/15/2019 11:30:00 AM
Final,HS478X,BRONX,,FINALCONSTRUCTION,Deficiency,08/15/2019 10:40:00 AM
Final,HS478X,BRONX,,FINALCONSTRUCTION,Final,08/15/2019 10:40:00 AM
Final,HS478X,BRONX,,FINALCONSTRUCTION,Out of Scope CP,08/15/2019 10:40:00 AM
Final,HS478X,BRONX,,FINALCONSTRUCTION,Out of Scope DSF,08/15/2019 10:40:00 AM
Final,HS490K,BROOKLYN,,SAFETY,Final,08/07/2019 04:50:00 PM
Final,HS495K,BROOKLYN,,ARCHITECTURAL,Final,08/08/2019 01:00:00 PM
Final,HS495X,BRONX,,POWERANDLIGHTING,Required Test,08/14/2019 01:00:00 PM
Final,HS499M,MANHATTAN,,ROOFING,Final,08/20/2019 07:00:10 AM
Final,HS520M,MANHATTAN,,SPRINKLERSTANDPIPE,Final,08/29/2019 10:21:33 AM
Final,HS524K,BROOKLYN,,ROOFING,Final,08/06/2019 12:30:00 PM
Final,HS524K,BROOKLYN,,ROOFING,Project info,08/06/2019 12:30:00 PM
Final,HS549K,BROOKLYN,,ARCHITECTURAL,Final,08/20/2019 01:00:00 PM
Final,HS620K,BROOKLYN,,LOWVOLTAGE,Final,08/27/2019 01:00:00 PM
Final,HS620K,BROOKLYN,,POWERANDLIGHTING,Final,08/27/2019 01:00:00 PM
Final,HS655X,BRONX,,SAFETY,Comment,08/06/2019 07:45:00 AM
Final,HSLAFK,BROOKLYN,,PLUMBING,Final,08/15/2019 05:51:53 AM
Final,HSSEWM,MANHATTAN,,MASONRY,Final,08/02/2019 06:00:00 PM
Final,IS014K,BROOKLYN,,HVAC,Final,08/06/2019 01:00:00 PM
Final,IS024R,STATEN ISLAND,,PLUMBING,Final,08/15/2019 09:27:16 AM
Final,IS061Q,QUEENS,,HVAC,Final,08/23/2019 10:30:00 AM
Final,IS061Q,QUEENS,,HVACSYSTEMSTESTING,Final,08/23/2019 10:30:00 AM
Final,IS098X,BRONX,,ARCHITECTURAL,Final,08/15/2019 02:00:00 PM
Final,IS125Q,QUEENS,,BOILER,Final,08/19/2019 09:53:20 AM
